Card 1,Card 2,Card 3,Card 4,Card 5,Hand Type
9d,Ac,Kd,Td,8c,0
8s,5d,7c,6s,9c,0
Jd,Ac,9d,7c,Kc,0
Ts,As,3d,8d,9s,0
Qc,Qs,Ts,5h,9d,1
Kh,Jc,8h,Ac,9d,0
Qc,Kc,Ad,9d,3h,0
2h,Ks,5d,Td,Jh,0
9h,Jd,6d,Js,7d,1
Ks,As,4s,Td,3h,0
Jc,9d,Kh,Qs,As,0
Kh,Jd,Ad,Qd,6h,0
8c,9c,6h,Kc,Ks,1
8h,As,Qh,2d,Jd,0
9s,3s,Qc,6c,4d,0
7d,5h,7s,Tc,7h,3
6h,5d,7c,Jh,8h,0
2c,2d,As,Qh,4h,1
Ks,7d,8s,7c,4c,1
5h,6s,6h,2d,Tc,1
Qs,6d,Qc,Qd,2d,3
Ah,4d,8c,9h,5s,0
8d,Qh,3c,Qs,Ts,1
7c,5s,5d,5h,Td,3
4d,6d,5h,7c,2h,0
Tc,Qh,5c,5s,4d,1
6c,Ks,Kh,9d,7d,1
7d,9d,5h,Kh,Qs,0
Kd,Tc,2h,3h,6d,0
7h,6s,6c,Ts,Qh,1
6h,Jd,Jh,3c,2d,1
6s,As,Ah,4c,9s,1
Ad,5d,Ts,5s,7d,1
Th,3h,Jc,7d,9s,0
3s,Qd,9h,2h,3d,1
Th,9d,3c,2d,6h,0
Ks,Tc,9c,6d,As,0
4d,4s,Ad,Kh,6h,1
Js,Ah,2s,8c,Kd,0
As,4h,6d,3c,Jd,0
4c,Td,2c,Th,2s,2
9h,Qs,3h,8d,Qd,1
4d,Tc,3h,Jd,Kc,0
9s,4h,Qc,Js,6c,0
Ad,8d,7c,Qh,Ac,1
6c,9c,9d,Ac,Qd,1
7s,Td,Kd,Ts,Ac,1
3d,5c,Ts,Jd,5h,1
Tc,3h,2d,8d,8h,1
6s,5s,8d,Ts,Qs,0
4c,6s,Kc,4d,Ad,1
8c,8s,4h,5s,7s,1
7h,Js,Ac,4h,Tc,0
4h,Kh,6s,2h,5c,0
Ts,9d,6d,2c,8s,0
3s,2s,Qd,9c,Th,0
Kc,Ts,4s,Qd,8c,0
Kd,7h,3h,Kh,Qc,1
4c,7c,9d,Th,Qc,0
6c,Js,Ks,As,8c,0
4s,Ts,Jh,4c,2s,1
Kh,5h,Th,Kd,Qh,1
7s,9h,Ad,4s,Td,0
7s,8h,4c,Js,2h,0
Qs,2s,9s,8d,3c,0
Kd,9d,4d,2h,As,0
Jd,3d,2h,8h,Qh,0
Ah,6c,8c,2s,6d,1
Qs,As,6d,Jh,2h,0
5d,7s,Qh,Qc,8s,1
Tc,6c,8c,3h,9d,0
4d,6h,Jd,4s,3s,1
7s,5s,Qh,Td,Ah,0
Ad,5h,9s,6h,5c,1
Jd,6h,Qd,9d,9h,1
8d,7d,4h,Ts,4c,1
6d,6h,Js,3h,Kd,1
6c,6d,7c,Qh,Kh,1
6s,6c,9d,Td,9s,2
Ad,Ts,7h,3h,5s,0
As,Qs,Qh,9c,Kc,1
Tc,9c,7s,6d,Kd,0
Jh,Td,7c,9h,8h,0
Jh,3h,8d,Td,Qc,0
6s,7c,4h,7d,Qd,1
5d,9d,Ac,3c,Qh,0
Qc,Qs,8c,Ac,4s,1
3c,8d,9h,7d,5h,0
Qc,Qs,Jd,Kc,2s,1
8c,2h,7h,4d,Jd,0
Ac,6d,6s,7s,Kc,1
Ks,5h,As,Ac,Jc,1
4c,3c,Td,6d,2d,0
Js,9s,Jc,Qc,4d,1
8c,8d,3d,6c,Qh,1
Qs,As,5s,2c,Tc,0
5h,Th,2c,Js,9d,4
Td,6h,3s,2h,3d,1
Qs,Td,5h,6s,Th,1
Jh,8s,5d,Ts,6s,0
5s,Jd,Tc,Th,7s,1
2h,Qd,3s,As,Ad,1
2c,6d,3s,Ks,Td,0
2s,2h,5h,8d,7s,1
Ac,Kc,Td,Ks,Qd,1
Ks,Kh,4s,7d,As,1
2d,2c,3s,8h,Td,1
8s,6s,Qc,As,2s,0
Kc,9s,4s,8h,Jd,0
Th,3c,Kh,8c,2d,0
7s,Qd,Qs,3h,Jc,1
Js,7h,3c,5c,Kh,0
3c,Tc,4s,Td,7d,1
Js,As,Kh,2h,Th,0
7s,2c,Kh,5h,2d,1
Ac,Jc,Qd,8s,Qh,1
Kd,7c,8h,3s,7s,1
As,Td,4c,Kh,Tc,1
Ts,5d,5c,7c,3h,1
4d,7d,7s,Kh,3d,1
Jd,Kd,3d,Ad,Ks,1
7h,9d,5c,Qc,4c,0
3c,4c,Js,Th,Td,1
2d,9d,3c,2c,Qs,1
6c,4c,3s,Ac,7c,0
5s,5c,9h,Ks,7c,1
3d,Td,5s,8c,6d,0
Qd,8d,4c,7d,6d,0
As,7h,Qh,8d,2d,0
Td,6c,4c,5c,Ks,0
Qh,Qc,4s,8h,Td,1
5d,Jh,4h,8h,Qc,0
2h,Ad,4s,7h,6d,4
5h,3h,8d,5s,3s,2
2c,Ac,4d,3c,3s,1
Jd,9c,7c,5d,Ah,4
Jc,Js,6c,Kc,2d,1
Kh,Jd,2h,3s,5c,0
5s,3d,Kc,Qs,8s,0
6d,4h,Ks,6s,7s,1
8h,3d,Ah,3s,5h,1
3h,8h,9h,6c,7s,4
Kc,Ks,9c,Ac,5h,1
5s,3s,4s,8d,7c,0
8s,Kc,4s,8h,Jd,1
9c,Kh,9s,6s,5h,1
2h,Qh,As,6c,3d,0
Kd,6s,Kh,Th,7c,1
8h,As,3s,7c,Jc,0
5s,9s,8d,Jd,3h,0
7h,Qd,Js,Ah,2h,0
2s,9h,Kc,8c,Jh,0
9h,Qc,9d,3s,Qs,2
4s,9h,5d,9s,3h,1
Ks,Ts,8h,Tc,5s,1
4d,2h,5d,5s,Jc,1
As,7d,Qc,8s,4c,0
8c,4h,Qh,2h,Td,0
9c,Jd,3c,5c,3h,1
Jc,Kh,Qs,7c,Td,0
7h,9s,Qh,3c,5s,0
4h,Td,5c,6c,Kc,0
Ac,Kh,5c,8s,Th,0
7h,9h,Kc,Kh,8s,1
5c,2d,7d,8h,Jh,0
4d,6d,Qc,Kd,4h,1
Js,2c,5c,4c,6s,0
Js,8s,7s,Ac,8d,1
Jh,8s,4d,5d,8c,1
Kh,6s,7d,5d,7h,1
8s,Ad,Th,As,Td,2
Th,5c,8s,4h,Td,1
Qd,5s,9s,6h,Jc,0
Ks,9h,8d,Ad,Kc,1
3s,Qd,5s,4c,Jc,0
6s,Qc,4h,6d,9h,1
3c,6d,8c,5d,7s,4
Ah,3d,Qc,5d,2c,0
9s,6d,Qs,3h,8s,0
Qc,8d,Td,4c,Tc,1
7d,4c,4h,Qd,4s,3
9h,Qd,Ah,Kc,2h,0
7h,9h,5s,4d,4h,1
2c,Ts,6h,9c,5s,0
4s,6c,Kd,Js,9c,0
8h,7s,3s,4d,Qd,4
4c,Ks,Jh,As,5c,0
Td,9s,6c,5h,Kh,0
Ad,Jc,4c,5h,6d,0
3s,5h,7d,4c,9h,0
6h,Jh,Ad,5h,Qh,0
Qc,9d,4h,Qd,Qh,3
Jc,9d,Jd,8c,4h,1
9s,Kc,5c,6h,8c,0
Ts,Kh,7d,Jh,9d,0
Jd,5d,9d,Ac,Qd,0
Qc,Ah,4d,Kd,8s,0
2s,3d,8c,3s,8h,2
2c,5s,4s,9c,9s,1
6c,5h,Td,Js,6d,1
8d,6h,Th,Kh,4s,0
4d,As,Kd,9d,Ts,0
5s,Qc,Qs,9s,Td,1
6d,Td,5h,Ac,2c,0
9d,2d,2h,5h,4h,1
Ad,Kd,Jd,Qc,8d,0
6d,4c,3h,2s,5c,0
4h,9c,9s,Qs,Qh,2
Jc,2h,Jd,Js,3s,3
Qd,8c,4h,6c,9s,0
6s,9d,2c,9c,Th,1
Jh,6c,Qs,Ts,4h,0
5s,Kh,7s,Qc,4h,0
Qh,5s,Qs,8d,Kc,1
3d,9s,4d,4c,Js,1
4h,Kd,9s,4s,Jh,1
Qs,8c,Ad,7d,4s,0
6h,9c,Th,Tc,7d,1
2c,Jh,9h,6c,Ts,0
5c,3s,9h,9s,Ac,1
Ks,Th,Jc,As,Jd,1
5s,4c,8s,5h,6h,1
4h,7d,5h,Qh,6h,0
2s,3c,5d,7c,7h,1
5s,2h,Jh,4c,Ac,0
3s,Ks,9s,9h,Qc,1
Kh,Ks,9c,7c,8c,1
8d,8s,As,2d,7h,1
6h,7d,2s,5h,Td,4
Ts,6s,5c,5s,4h,1
7s,Ks,Tc,Js,Jd,1
4c,2d,Kd,7h,Tc,0
Jh,Kd,4s,Jc,Ah,1
2c,3c,5s,As,Js,0
8s,5s,5h,2s,5c,3
3s,Td,Ah,Jc,Qs,0
Kd,9d,4h,Ks,5d,1
Kh,Jh,Ah,6c,8s,0
9h,6s,3s,Ts,8s,0
7c,3c,9d,9h,Kd,1
As,5c,Th,Ts,4c,1
4h,2h,2d,Ks,7d,1
8c,2d,5h,Jh,7c,0
4d,8h,Kc,Kd,Qc,1
4h,9d,2h,Jh,Qs,0
9h,9c,2s,2h,Kh,2
Kc,Js,8c,5d,3d,0
Ac,5h,4s,Kh,5d,1
Js,6s,9c,8s,7h,0
7s,4s,5s,7c,Jc,1
6h,Ah,3c,Qs,3d,1
6d,4s,2s,Js,Td,4
8s,Qh,Th,Ah,3d,0
2s,3s,4d,7d,3d,1
7c,Qd,3c,5s,8s,0
Ts,9d,5h,Jd,Kh,0
Kc,5d,2h,6c,Tc,0
8h,Ts,Tc,Kc,9d,1
Js,5d,Jd,8c,Kc,1
7c,Ah,8s,9c,Js,4
Jd,5d,Kh,Qs,Th,0
4s,8c,8d,Qd,Jd,1
Ac,Td,Kh,5s,Qh,0
8s,7d,4h,Kc,7s,1
Ts,8h,3h,7h,9c,0
5h,7d,Kh,7h,6h,1
3h,6d,Ks,5c,9c,0
5s,2s,2h,8h,2c,3
Th,Kc,7d,Kh,5s,1
9d,Qd,9s,Ac,8c,1
Th,3d,Ad,Kd,Ah,1
2c,Td,Jh,3d,4s,0
8s,7d,As,9h,2h,0
2s,Th,Ac,6d,Jh,0
As,5s,7h,3c,8d,0
Th,Ks,4s,9h,8h,0
4c,9d,Jd,5s,3h,0
Qc,Kc,5d,Kh,9s,1
9s,2s,Kh,9d,Jd,1
8s,Qd,Ac,8c,5d,1
3s,9h,3d,4d,Td,1
3c,5c,8d,Kh,Tc,0
7d,9d,Qc,2s,9c,1
Qs,9s,4d,8s,7d,0
5h,Ah,8h,4s,Td,0
4c,Td,Kh,2s,3d,0
Ts,4d,3s,5s,Js,0
8h,Ts,Kc,8d,6h,1
Qc,Jh,Qd,Kd,6s,1
Jd,3s,5s,Ks,Tc,0
7c,Kc,Jd,8s,2c,0
Ad,Th,Qs,5s,7c,0
8d,7h,Ac,Tc,5d,0
Ad,9d,5s,8s,9h,1
Ac,5h,7h,Ts,4s,0
Jd,As,4d,9d,5d,0
5d,9d,Kd,6s,Ac,0
9s,Ts,6s,5s,Ah,4
2h,5d,Ah,Ad,4c,1
Jh,7c,3h,4d,Ac,0
Ac,Kh,7c,8h,6h,0
4h,Ts,Jd,Qs,6h,0
Jh,Ks,4s,9s,8c,0
8d,Jc,6s,Ah,3d,0
3c,Kd,2c,5c,9d,0
5h,Tc,Th,As,Qd,1
Ks,4s,7d,8s,As,0
2h,Qh,5d,3s,5c,1
6c,Ad,Qc,2s,Td,4
Tc,6c,Jh,7h,Th,1
Jh,9c,Kd,Kh,Tc,1
2s,Qs,6d,9c,Kc,0
5d,7h,Ts,7c,9h,1
6c,2h,Th,8h,Kd,0
3c,Ts,9c,7d,4s,0
Qh,Kc,Qc,2c,7c,1
6h,Ts,7s,Qh,8d,0
2d,9c,7s,4s,4h,1
3c,6h,3h,Ks,9h,1
8s,Ks,Kd,3s,9c,1
7d,5d,Qc,4s,Jh,4
2c,9d,Jd,Qc,5d,0
Ks,4c,Jd,4h,8s,1
5d,7s,7c,As,4h,1
3d,5c,Ah,2h,Td,0
Ac,8d,Qc,Jh,8h,1
Ad,5d,Tc,8h,Ks,0
Qs,2c,5s,Jd,Td,0
3s,6h,3d,5s,9c,1
8h,8d,2h,Ts,2c,2
9d,Jd,Qc,Ac,8c,0
Kc,9h,3s,9d,Kh,2
3s,5s,2s,Qd,Ad,0
3s,2d,Ac,Jd,Qc,0
Jc,3s,5s,6h,Th,0
6h,3s,Jh,Kd,5s,0
9h,5s,Jd,Ad,4d,0
9s,7d,9c,Kd,Ah,1
Ks,Th,6d,3c,2s,0
8d,Kc,Qs,3c,As,0
7d,9s,4s,3s,5c,0
Td,4c,7h,Ts,5d,1
6c,Ks,5c,Ah,3d,0
7s,Kc,6s,5s,4c,0
2c,8h,As,4c,9s,0
Tc,Qc,9d,Ac,5c,0
2h,6s,5h,Js,2c,1
6s,5d,6h,9h,6c,3
2s,Jc,Kc,4s,Ks,1
Ah,9h,Qd,Ks,2s,0
Ah,8d,Qd,Kh,Jd,0
Jc,Tc,4h,8h,2c,0
2d,2c,Jh,Ts,8c,1
3c,5d,4s,Kc,Jc,0
2c,Qc,Kc,Jh,Qd,1
Th,2h,Kc,9c,5c,0
6h,Ts,Ah,Jc,9s,0
Jd,Tc,8h,7d,5d,0
3h,Tc,9c,Qd,4s,0
Ac,Ts,2s,Qs,9s,0
Ks,Td,Ac,2d,8d,0
Jd,Th,2d,3d,5s,0
4c,Td,2h,As,9c,0
Ad,Qh,Js,2d,7h,0
Ts,As,3d,7c,2h,0
9h,2h,8c,Kc,5h,0
7h,3c,Kc,4c,8c,0
8s,5d,Qd,5c,2h,1
As,9h,8s,8h,2h,1
Tc,3c,9c,Td,4d,1
2d,5h,Tc,7h,2s,1
5c,Jh,Js,Jc,Kc,3
8c,Ad,As,3h,Td,1
Ah,Jd,2h,8s,Kc,0
Ah,9s,7h,5d,Tc,0
4s,Jd,7d,3s,3d,1
8d,7s,6c,Tc,6h,1
As,8d,9c,3s,7c,0
2c,Jd,9s,7h,Qc,0
4c,Jd,6d,5d,Td,0
8c,Qd,Ks,6s,4s,0
3h,6d,4s,As,2s,0
Jd,6h,Js,Qh,5c,1
Td,Ac,5c,7s,Js,0
Jc,6d,Qd,Kh,5h,0
4s,9c,8h,Kc,5s,0
As,Qc,Qd,Qs,Js,3
2c,9d,3c,9h,Tc,1
5s,9c,Tc,Ks,3s,0
2s,4s,7c,Ts,3d,0
5c,7d,4c,9h,Ks,0
4s,Ah,Kd,Kh,Ts,1
9c,3d,5c,Jc,9d,1
Th,Ah,5c,As,Ts,2
Qd,Js,Jc,8c,Ks,1
4s,2c,Qh,2h,Jh,1
Qd,Ks,Kh,5h,4s,1
Kh,Qh,4d,4h,4s,3
7c,Qc,Ks,8h,6h,0
As,2c,9c,Ah,Jc,1
6d,6c,Ah,Qh,Qc,2
4c,4s,Th,7s,Kd,1
6h,4d,8s,Ts,3c,0
Kh,9s,8s,Kc,3s,1
7c,Qd,9c,As,Qc,1
9c,Kc,Ks,Ah,6s,1
5h,Ad,4c,3s,5d,1
9s,6d,Jc,Qc,8d,0
Qh,8d,Jd,3c,Js,1
2d,Kh,9c,8s,Jd,0
Kd,4s,As,Ad,2d,1
6c,Ks,8c,Js,Ad,0
Td,4h,5h,6h,9c,0
2d,6s,7h,Kc,9d,0
Th,7d,2c,4c,7s,1
5s,As,2h,3s,Ac,1
9c,3h,7d,5d,Qs,0
Ad,Qh,Kc,2d,7d,0
8c,9d,Kh,4s,As,0
4h,7c,Ah,8s,8d,1
Qs,Td,7s,5c,2c,0
Ks,Jc,7h,2c,As,0
Qc,4c,Jd,3h,Qs,1
6s,Ts,2d,Th,Ks,1
8h,Qh,Kh,6h,3d,0
Qd,9d,4d,Ac,5h,0
3s,9d,3c,Ah,9s,2
8c,Ad,8h,3d,5s,1
7h,Kh,Jd,Ac,Th,0
2d,9c,5h,Qd,Kd,0
Td,8d,Jd,Kd,7h,0
7c,8d,Td,9d,Jh,4
9d,6c,2s,Tc,6d,1
5h,6s,6h,2h,Jh,1
3s,2h,8c,7s,6s,0
9s,Jc,7c,Ts,As,0
Kd,4s,5s,7d,Qd,0
5d,Td,Qh,8s,9d,4
Js,Kd,2s,6s,7h,0
4s,7c,Qh,5d,Th,0
Tc,9d,6d,Ah,Qc,0
Jc,5d,4h,Qs,8s,0
Ks,Qd,6c,6s,2c,1
8d,2h,3s,7d,4h,0
2s,5h,As,Qc,Tc,0
5c,4s,9s,3s,Ah,0
Ah,2c,8d,Th,Qs,0
2h,3h,2d,Ad,6h,1
Ks,9s,Js,Th,4s,0
Kd,Ks,3c,Kh,8h,3
Kc,6h,Ac,8s,9h,0
5c,6d,Ac,As,8h,1
2c,6c,3s,4c,4d,1
6d,5s,6c,6h,9s,3
9c,7d,8d,5c,8s,1
2h,7d,8h,2s,7c,2
9c,Qd,Tc,6c,9h,1
2h,Th,Kc,Ah,Jc,0
7h,Kd,Ah,3h,Jh,4
8c,Jd,9c,Ks,Qs,4
5h,Kh,5d,4h,Js,1
6c,8d,7d,Jc,7c,1
Qc,Kd,Th,Td,6s,1
Jc,7h,7c,Kh,4d,1
8d,Kc,7c,8c,Ad,1
Ac,5h,Js,Th,8s,0
Jd,8h,5h,Ah,4c,0
Th,Tc,8s,8c,Qc,2
Qc,8c,5s,2h,5d,1
Qd,Ac,8s,4d,Ks,0
6c,4s,2h,Td,Ah,0
8h,2h,Qd,4c,6c,0
7d,2h,3s,Qh,5d,0
7c,5c,6h,Kc,Ad,0
3c,Th,4c,6h,Td,1
7s,Qh,7c,Ad,Qc,2
2d,2s,Ts,Th,3h,2
Qs,Ac,9c,5c,7h,0
7s,2d,5c,3c,5d,1
9s,6s,Kh,2s,Ad,0
7h,4h,7d,Jc,5s,1
7c,8c,2s,Ac,Kh,0
6c,Td,4d,2s,6h,1
Qh,Jd,4h,2h,7h,0
Kd,Td,Ah,2s,6d,0
5d,5h,Qs,3h,8c,1
4s,4h,8c,7h,Kc,1
Ad,Qc,Ah,Ac,9s,3
Ts,7s,9h,Ah,Th,1
Ac,Jd,8h,Kh,2h,0
2d,Jh,6s,Kc,4h,0
As,3c,Qs,6c,4s,0
Jd,Jh,8d,Tc,Qs,1
Jh,9c,Ad,2s,Kh,0
2c,Qs,2h,Qd,7h,2
7s,7d,Js,7h,9h,3
2d,7s,Jh,6h,Th,0
8c,6h,Th,Ad,9d,0
8d,4s,Qc,Ad,4c,1
Qc,5c,Qs,Qh,7c,3
7s,Ad,Jc,3s,4c,0
8c,Kc,6d,7s,3d,0
Ts,8c,Td,2h,9s,1
4s,Th,Ts,6s,Ah,1
4d,Jd,9d,9c,8s,1
5h,7h,6s,7c,Js,1
Ac,6c,4h,Ts,7d,0
Qd,2s,3c,2c,As,1
6s,3d,5c,4h,Kd,0
5c,9c,Ts,Jh,6h,0
3s,7c,Th,3c,Kh,1
7d,2d,3s,9c,Ks,0
2h,2s,Ah,Qc,Qh,2
Ah,Qc,6c,Kc,9h,0
As,9d,Ac,Ad,Qh,3
4h,Qd,8h,9h,Ad,0
Qs,9d,Ac,4d,Kd,0
Jd,Td,7h,Ah,6c,0
2s,2d,Jd,Td,9s,1
9c,5s,8d,6c,8c,1
Tc,Td,8c,4h,6s,1
2s,8c,7s,Td,Js,0
Ts,8h,8s,3c,9c,1
Jd,6c,9s,4c,3s,0
Td,2d,Kc,8s,Kh,1
Ad,4h,6h,Td,6d,1
3s,Tc,5h,Qs,3c,1
Ad,2s,Ac,6s,2h,2
9c,9d,2c,4d,Qd,1
2d,7c,Jd,6s,7d,1
3d,8h,6c,Ks,5d,0
6h,Kc,Qd,Ts,7d,0
Kd,Ac,3h,Ah,2s,1
Kc,2d,Jc,2s,Qc,1
6h,Qs,Jc,2h,7h,0
Qc,Qs,4h,3c,5s,1
Ah,3c,Ks,7s,8c,0
Js,Kc,Td,Th,6d,1
Ks,Th,4d,Kd,4c,2
5c,7d,Jd,6h,4c,0
Ad,Jh,Ks,6c,5h,0
7d,4d,Js,Kd,4h,1
6s,7d,Kd,6d,5d,1
3s,Jd,9c,Qs,3c,1
Jh,5s,6h,7s,8s,0
Js,Qc,9d,7h,Kh,0
4s,Kh,5c,Td,Qc,0
Jc,9d,3d,8h,Js,1
Ad,4d,Jc,3d,Ah,1
5c,8h,Kc,7s,Ac,0
5c,6c,Js,Jc,Qd,1
2s,Jh,4h,6c,8s,0
2c,3h,4d,8s,5h,0
3d,3c,Qh,8d,Qd,2
7c,As,Qc,Js,5d,0
7s,Qs,7h,2s,5d,1
6h,7d,3d,4d,3h,1
As,8s,Qh,5d,3d,0
Qd,6c,3d,Ah,Ks,0
Tc,Ks,4d,9d,2h,0
2s,9d,8s,Ad,9s,1
8c,7s,Kd,Js,Jd,1
5c,8c,8h,4s,Jh,1
4h,Kc,9h,6h,7s,0
3h,4d,As,Ah,4h,2
Jc,Qs,7s,Ah,9c,0
8h,Td,4c,2c,Qh,4
8c,Jh,6d,3s,3d,1
Td,3d,Ah,3s,4d,1
Ks,Td,6s,4s,8s,0
8d,Th,3s,Qc,Kh,0
8s,7h,6h,8d,Kh,1
Qs,3d,5d,Kh,Kc,1
6s,9s,Ks,8c,8s,1
2d,Th,3c,Td,9d,1
Qc,2d,Kd,9c,9d,1
7h,Qc,Td,9c,Kc,0
4h,3s,Qc,9d,2d,0
7s,As,Kc,Qh,8d,0
2s,8h,3s,8s,Jd,1
Kc,8d,8h,7c,Tc,1
As,7s,5c,6h,3c,0
7s,Jd,Qs,8d,2d,0
Jd,Kc,6c,9s,6s,1
3d,7c,2d,Jd,7h,1
8d,3d,Tc,3c,Qh,1
8h,Qd,4s,Kd,Ac,0
Qh,Kd,9h,7s,Th,0
9h,8s,Ks,Qs,2h,0
5d,Ts,8h,Js,4d,0
5c,Qd,Td,2s,5d,1
4c,8c,Th,9s,Tc,1
7s,5d,2d,7c,8c,1
Qc,5c,Tc,6h,9d,0
9d,3c,7h,Ks,2c,0
Qc,Qd,Ah,Ts,5h,1
5d,4d,Ks,Qs,8h,0
5h,Ad,9d,6h,2s,0
9c,Kd,8s,6h,5d,0
Jh,5s,2d,8d,8c,1
7s,4c,6s,7c,3c,1
3h,Jh,9s,8h,7s,4
Qs,6h,Qd,6c,9d,2
8h,Tc,4d,Th,Ts,3
As,7s,Th,8d,Jd,0
8s,Kc,4d,4c,4h,3
Ad,2d,8c,7h,Ac,1
8d,5h,7d,3h,Th,0
7c,Td,7d,5d,Jh,1
6c,7s,8h,7c,5h,1
6c,9h,3s,2h,5c,0
Kc,Jd,7c,8s,3c,0
2c,Tc,Ac,Kc,2s,1
8d,8h,Jh,8s,3h,3
5d,8d,6s,7d,Ah,0
4h,Js,8h,2h,8d,1
Qd,2s,7d,8s,Jc,0
9h,6s,5s,4s,9d,1
9h,As,Ts,Kd,6d,0
Qh,Kc,Ad,2h,8s,0
9h,7h,Qs,4d,Kd,4
5c,7h,4h,2h,Jh,0
4d,7c,2d,Ah,7s,1
4s,7c,6c,3h,Qc,0
Jc,Td,8c,Th,9h,1
3c,2d,Qs,Tc,8h,0
6d,7d,Jc,Jd,5s,1
7c,7s,9s,8d,Kc,1
Js,Qd,Ac,Qh,8d,1
2s,2d,Kd,4d,5s,1
Qs,Td,Th,Qd,Jh,2
9c,Tc,3s,Kd,2s,0
5d,2d,4d,3h,7d,0
4d,5c,Js,9c,6d,0
As,2s,3c,Qc,8d,0
8c,Qc,6s,Ac,7d,0
5h,Kh,6c,Ac,Js,0
9d,5h,Qh,Tc,Ks,4
6s,9h,Kh,6d,Th,1
9d,4s,6c,7c,3s,0
5h,8h,9h,Th,8c,1
3h,Ah,Ts,7c,9d,0
6d,6h,Qs,Jc,4d,1
Qc,Kd,5h,8d,3c,0
7c,Ad,As,6d,4s,1
2c,Jd,4c,7d,5h,0
9c,Ts,Td,5s,5d,2
9s,3d,3s,Js,6h,1
5s,3h,Qs,8h,2c,0
Js,Ah,Kc,Ks,8h,1
Qc,4c,2c,6c,8c,5
4c,Ah,Jc,3s,2d,0
Tc,6h,7c,2s,Qh,0
Qd,Td,9s,2s,Ah,0
Qc,3h,2s,5h,As,4
7c,6c,Kc,2s,Ks,1
8s,Qs,7h,Kc,2s,0
Ac,4s,7h,Td,5c,0
3c,2h,Jd,Kc,6c,0
Kd,8h,6h,Ac,Ad,1
9s,Ah,9h,4h,Jd,1
2h,As,6c,4c,6h,1
Kd,6c,3c,Tc,Ah,0
6h,Th,Kh,Td,Qc,1
Ks,4d,5s,Ad,4h,1
Jd,5h,2d,9d,Qh,0
6d,3c,2s,Qc,3s,1
Jc,2s,8s,Kd,3d,0
Td,9c,Ac,Ts,9s,2
4c,8c,6c,2c,Js,0
6d,5c,6c,Ts,2d,1
8h,Ad,6c,Kc,2c,0
5c,6s,6h,Qh,3c,1
9h,6s,2s,9s,5h,1
Qs,3d,3h,2c,Th,1
7s,2h,4s,3d,3c,1
4h,5d,9d,Qd,9s,1
7h,Qs,Qd,5s,Ac,1
5d,Td,Qh,7c,9s,4
6d,5c,8s,5s,6h,2
Jh,4d,7d,3h,6h,0
Ad,6d,Jc,2c,8s,0
6c,4d,Tc,2h,8s,0
4s,6c,8s,3c,6h,1
2h,Jc,3d,2d,5s,1
Ad,9c,Jd,Kh,7h,0
4d,2c,Qs,6d,Th,0
8h,5c,8c,Ah,Ks,1
Kd,Td,As,4s,Tc,1
5s,Qc,2d,4h,5h,1
8h,Ts,5d,2h,6d,0
5h,4c,9h,6d,2h,0
Kh,5s,3s,4c,3c,1
Js,2d,9d,6c,8h,0
Ac,3c,4s,8h,3h,1
2s,Ah,Tc,9h,Kc,0
6c,9d,Jc,Jh,8s,1
6h,Kh,7d,3s,Td,4
8s,5s,2c,3d,As,0
As,9h,2d,8s,Th,0
5s,2d,3c,Kd,Th,0
Ks,Ts,5s,8d,4c,0
Qh,7h,Qs,2d,6c,1
7c,3h,Kd,2h,5h,0
2s,Js,4d,9d,5c,0
Ks,4h,9d,Jh,6h,0
9h,Kh,Kc,2s,Jd,1
4s,7s,Th,Ad,9s,0
Kd,3d,6h,6s,4d,1
3d,9d,2s,6s,8h,0
Qh,5h,Jh,4s,Qs,1
Kd,Qd,4s,Td,9c,0
Tc,7c,5d,Ks,Kh,1
3c,2s,7d,6h,Jd,0
9s,8h,Qh,Ad,Tc,0
6s,7d,Ks,4h,Ts,4
Qh,Js,2c,6c,As,0
8s,8d,3s,3h,6h,2
Ah,6d,As,Qs,Td,1
4s,Kd,7h,3h,5s,0
8h,2d,7h,6h,Kc,0
9s,9h,7h,5d,3h,1
4c,9s,Qc,3d,5d,0
Js,6c,2s,Kh,Ks,1
Jh,Ks,8h,2h,Qs,0
8h,Ts,Jc,Tc,2c,1
As,Qh,5c,4d,5s,1
Jc,Ks,5s,4d,2s,0
8c,7d,3c,Ts,Qc,4
9c,Ah,5s,Ad,2c,1
7s,8d,2h,Ts,4h,0
2s,Tc,8d,Qh,3d,0
Ac,5c,8d,9c,2d,0
3d,8c,Qh,4s,9c,0
Js,7c,3s,6s,2d,0
4c,5c,Js,Jh,8c,1
6h,Ts,8h,3c,5h,0
As,Qs,9d,Js,Qc,1
Th,2c,5s,2h,Jc,1
3c,4s,Jh,Ks,Th,0
2h,Ts,5h,Tc,Th,3
Qd,Ah,As,Kd,Kh,2
Tc,4s,5h,Qs,Jd,0
Ac,5h,Kd,5d,Ad,2
Js,7s,7c,3d,Qs,1
Ah,Tc,Ac,3c,Jc,1
6h,6c,3s,Qd,Qh,2
6s,Ad,Kc,4d,Ac,1
Ah,Td,Ad,2c,6s,1
Qs,Kc,Kh,9d,4d,1
8c,9h,3s,Jh,5s,0
9d,Th,5s,5h,7d,1
Ah,Ad,Qc,2c,Kd,1
3c,Kd,5h,Jd,6d,0
3d,Ts,Kh,6d,7h,4
Td,2s,8h,6s,3s,0
As,6s,5s,Qh,3s,0
